language,text,length_processed_text,type
en,notifications not works,3,Bug
en,Very useful app,3,rating
en,very good app,3,rating
en,Helpful N Reliable,3,User Ex
en,this is genius,3,User Ex
en,help full app,3,User Ex
en,It keeps shutting down,4,Bug
en,Keeps changing to Spanish,4,Bug
en,I cant download it,4,Bug
en,so slow constantly freezing,4,Bug
en,Microphone does not work,4,Bug
en,I cant download it,4,Bug
en,this app is amazing,4,rating
en,Photo math is AWESOME,4,User Ex
en,great for learning Spanish,4,User Ex
en,Very slow while downloading images,5,Bug
en,You need to make tutorials,5,Feature
en,helps good with any problem,5,User Ex
en,great to communicate with School,5,User Ex
en,i can practice my Russian,5,User Ex
en,confusing app hard to find information,6,Bug
en,i cant even download the app,6,Bug
en,Doesnt send messages as it should,6,Bug
en,cant leave conversations Can be glitchy,6,Bug
en,Great App Detailed answers Understandable answers,6,User Ex
en,great and helpful app for school,6,User Ex
en,good app to communicate with teachers,6,User Ex
en,I have made so much progress,6,User Ex
en,Some stuff on Classwork doesnt show up,7,Bug
en,It always freezes My kids get bored,7,Bug
en,Its bad doesnt load questions in time,7,Bug
en,love itkeeps me informed of school work,7,User Ex
en,it is not letting me go on it,8,Bug
en,App shucks doesnt work most of the time,8,Bug
en,This app is very glitch and not native,8,Bug
en,doesnt show the solution  it said problem error,8,Bug
en,Worked well but bring back to do list,8,Feature
en,probobly the greatest app on this site tbh,8,rating
en,Great tool for learning math I love it,8,User Ex
en,great if your in school or have homework,8,User Ex
en,it is very nice  Easy to solve problens,8,User Ex
en,Helps me keep up with events at school,8,User Ex
en,good tell when is not school hours yet,8,User Ex
en,AWESOME Reminds me of kids assignments  due dstes,8,User Ex
en,very informative on getting all information out there,8,User Ex
en,Great useful app modernizes and digitalizes learn ing,8,User Ex
en,Good app  just a bit slow freezes up alot,9,Bug
en,I cant download the app keeps saying download pending,9,Bug
en,Doesnt work on android device with the school account,9,Bug
en,it was terrible it didnt show me anything 010,9,Bug
en,Great app wish the voice was a little clearer,9,Feature
en,Uses too much data with way to control it,9,Feature
en,its a great app to contact my childs teacher,9,User Ex
en,Colorful and encouraging Supplements my weekly Japanese class well,9,User Ex
en,I recommend it to learn a language from scratch,9,User Ex
en,Duolingo is a best app to learn more Language,9,User Ex
en,This aap is very helpful and amazing Install thia,9,User Ex
en,messages take way too long to send notifications are inaccurate,10,Bug
en,Wouldnt let me cancel and too many glitches fix it,10,Bug
en,why cant i download this app keeps freezing at 55,10,Bug
en,good luck trying to remove a class very annoying app,10,Bug
en,It is not giving me icon options for skill option,10,Bug
en,cannot install in Samsung Note 8 stops at 72 progress,10,Bug
en,Good in theory Difficult to navigate Should be simpler design,10,Feature
en,it is very easy to use and it works offline,10,User Ex
en,Works well keeps me in touch with my childs teacher,10,User Ex
en,great app I feel like Im definitely learning the language,10,User Ex
en,LOVE IT SUPER ADDICTIVE ALMOST DONE WITH MY FIRST LANGUAGE,10,User Ex
en,this app is really helpful for learning math than school,10,User Ex
en,I enter my code for my classroom and it doesnt work,11,Bug
en,I cant write a question Tell me how to add questions,11,Bug
en,love this app helps keep in touch with my child teacher,11,User Ex
en,It is an amazing app that really helped me a lot  ,11,User Ex
en,its a great game just wont work when I make a account,12,Bug
en,Every time I go to enter code and then nickname it freezes,12,Bug
en,Didnt let me log in and just said there wasnt any account,12,Bug
en,Something the app dont sync to message box Or messages wont send,12,Bug
en,I cant download the pictures teachers post of my kids So frustrating,12,Bug
en,really great and you have all the explanations which are really detailed,12,User Ex
en,great way for teachers to let you know about your childs homework,12,User Ex
en,it is a great app I am using it from 1 month,12,User Ex
en,Granddaughter love abc mouse because its so interactive with the different activities,12,User Ex
en,The app wont stop crashing As soon as I open it it closes,13,Bug
en,Works on my iPad but wont open on my android LG thinQ phone,13,Bug
en,Says Im offline when I have perfect connection This app does not work,13,Bug
en,takes forever to send messages sometimes great to communicate with your childs teacher,13,User Ex
en,good help with math problems that i dont understand how to work out,13,User Ex
en,I cant even login on the app on my phone Some serious design flaws,14,Bug
en,It will never load Worked for about 5 minutes then it never stopped loading,14,Bug
en,Used to be great Its so slow Nothing loads I see a cancellation coming,14,Bug
en,Brilliant software still a little ways to go with the reading but still amazing,14,User Ex
en,My kids love this its a great app and helps them learn so much,14,User Ex
en,This is only for a teacherdont install this aap this is a worst app,14,User Ex
en,I cant open any links I dont know why itjust shows it as plain text,15,Bug
en,It wont let me sign in it keeps saying Cant connect info might be outdated,15,Bug
en,it work only one time and then hang my phone stupid aap waste my time   ,15,Bug
en,It does not open on my phone I removed and installed again still not working,15,Bug
en,great app loved it it could even do complex calculations thumbs up to the developer,15,User Ex
en,very easy to use i especially like it for language learning and humanities science terms,15,User Ex
en,Quits working randomly will only work on certain devices Otherwise my daughter loves using this app,16,Bug
en,I couldnt log in to my personal account Also the app has a lot of bugs,16,Bug
en,Refreshing always fails Notification never opens Files dont open sometimes Fix it google fix it now,16,Bug
en,I can join my classes on the website but not in the app for some reason,16,Bug
en,Downloaded on a tablet it will not work App freezes and can not get money back,16,Bug
en,I like this app its a great way to keep in touch with my childrens teachers,16,User Ex
en,Easy to use we get updated information for our kids fastest way to communicate with teachers,16,User Ex
en,Tested out one skill and another one disappeared from the skill tree can you please clarify this,17,Bug
en,I love ABC Mouse but the app is constantly freezing and very slow to load the activities,17,Bug
en,Multiple times I was in the lead then I lost all my points points reset to  zero,17,Bug
