"Id","Text","Score","length","type","error.code","error.message","url"
"6","Great tool for learning math I love it",0.913216412067413,8,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"9","great if your in school or have homework",0.754690766334534,8,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"10","It is working amazing for me Now i love to finish all my exercises at home and have them ready for the class this app makes me like math a little bit more haha",0.805354714393616,34,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"11","really great and you have all the explanations which are really detailed",0.971081078052521,12,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"20","it is very nice  Easy to solve problens",0.992630362510681,8,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"22","intelligent mathematical software that understands unknown variables like a scientific calculator cannot likewise the graphing capabilities are superior to any calculator you wish to try",0.78087317943573,25,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"25","helps good with any problem",0.173975735902786,5,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"27","it is very easy to use and it works offline",0.885369479656219,10,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"28","This is an awesome app It has helped me to help my kids Thank you so much for this",0.973561525344849,19,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"29","Helpful N Reliable",0.970237851142883,3,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"34","this is genius",0.995372831821442,3,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"36","help full app",0.779998421669006,3,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"38","Brilliant software still a little ways to go with the reading but still amazing",0.87143886089325,14,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"41","great and helpful app for school",0.93394136428833,6,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"42","Helps me keep up with events at school",0.793505012989044,8,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"43","i lve this app i enjoy being able to have an easy way to communicate with my childs teacher and recieve important updates and pictures of my children  ",0.84143203496933,28,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"49","good app to communicate with teachers",0.852532565593719,6,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"50","Quick easy and efficient Helps out when i cant use a phone during classtime also provides an automatic written record",0.909588575363159,20,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"51","good tell when is not school hours yet",0.786665737628937,8,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"54","I love being able to check on my son if needed and this is way better than hoping to get info with a piece if paper",0.765199899673462,26,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"56","love itkeeps me informed of school work",0.905863285064697,7,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"61","I like this app its a great way to keep in touch with my childrens teachers",0.886709928512573,16,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"62","This is a wonderful app It allows me to contact teachers and stay up to date with my childs progess updates and news throughout the school year",0.759390473365784,27,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"63","This is a great app that allows you to keep in touch with your childs class teacher we just love it",0.924654364585876,21,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"64","great to communicate with School",0.955950140953064,5,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"65","love this app helps keep in touch with my child teacher",0.923341989517212,11,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"66","what a great way to keep in touch if there are issues and also to see how things are going through the day So easy",0.837267160415649,25,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"67","takes forever to send messages sometimes great to communicate with your childs teacher",0.811508893966675,13,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"72","great way for teachers to let you know about your childs homework",0.85015082359314,12,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
"73","Really helpful app with communication to my team Thanks for working out the Verizon dispute as well",0.768675327301025,17,"User Ex",NA,NA,"https://westcentralus.api.cognitive.microsoft.com/text/analytics/v2.1/sentiment?showStats=1"
